"marker","129S1/SvImJ","A/J","C57BL/6J","CAST/EiJ","NOD/ShiLtJ","NZO/HILtJ","PWK/PhJ","WSB/EiJ"
"backupUNC130399514",1.1735,0.03,1.215,0.006,1.275,0.028,1.1355,0.022
"backupUNC130417705",0.9865,1.1515,1.128,0.0375,0.028,0.0325,1.1835,0.033
"backupUNC130429182",0.0115,0.011,0.009,0.027,0.071,0.0205,0.03,0.01
"backupUNC130434346",0.014,0.0085,0.004,0.991,0.678,0.7955,0.792,0.009
"backupUNC130456957",1.1365,1.168,1.172,0.036,0.026,1.191,0.043,0.041
"backupUNC130511796",0.0395,0.0355,0.024,1.173,0.029,0.032,1.1705,1.182
"backupUNC130531639",0.009,0.0185,0.016,0.073,0.772,0.019,0.073,0.044
"backupUNC130537805",0.062,0.064,0.054,1.0385,0.973,1.0755,0.0485,0.045
"backupUNC130544625",0.0695,0.05,0.063,1.716,0.078,1.6145,0.058,1.503
"backupUNC130557608",0.6735,0.0125,0.656,0.0065,0.006,0.6395,0.6495,0.011
"backupUNC130715525",0.0185,0.019,0.015,1.17,1.254,0.0185,1.1285,1.074
"backupUNC130720137",1.287,1.3285,1.279,0.0235,0.017,0.03,1.426,1.279
"backupUNC130778169",0.1225,0.1165,0.108,1.064,0.192,0.118,1.008,0.975
"backupUNC130916333",0.0135,0.0275,0.02,1.538,1.45,0.02,0.0215,1.251
"backupUNC131047427",1.1085,1.058,1.059,0.0305,0.02,1.074,0.0535,0.051
"backupUNC131266311",0.0115,0.01,0.01,1.0555,0.003,0.9655,1.078,0.943
"backupUNC131297253",1.627,1.562,1.496,0.0685,1.968,1.5995,0.073,0.05
"backupUNC131308761",0.0015,0.447,0,0.3515,0,0.4115,0.3795,0
"backupUNC131334377",0.172,0.148,0.016,0.0255,0.105,0.1425,0.014,0.126
"backupUNC131342477",1.313,1.319,1.319,1.352,0.048,0.071,0.079,1.342
"backupUNC131401561",0.087,0.111,0.076,0.11,1.943,0.1095,1.806,1.534
"backupUNC131411267",0.0125,0.0085,0.004,0.009,0.052,0.0115,0.056,0.053
"backupUNC131413894",0.003,0.0075,0.002,0.011,0.813,0,0.8045,0.903
"backupUNC140062991",0.005,0.0055,0.73,0.745,0.667,0.7335,0.0015,0.003
"backupUNC140094755",1.1805,0.04,0.037,1.224,0.034,1.2025,1.2495,1.21
"backupUNC140098146",1.13,0.008,0.003,0.0135,1.097,1.1245,0.018,0.013
"backupUNC140099960",1.1145,0.0315,0.026,1.2205,0.944,0.0325,0.0285,0.027
"backupUNC140104438",1.2845,1.4085,0.047,0.0745,0.055,0.0525,1.434,0.044
"backupUNC140106398",1.166,1.204,0.082,0.148,0.149,1.1935,0.142,1.175
"backupUNC140110571",1.454,0.0265,0.007,1.4065,0.021,0.0225,0.021,1.432
"backupUNC140121600",0.9535,0.015,0.01,0.009,1.201,1.027,0.01,1.004
"backupUNC140123201",0.0315,1.466,1.348,0.0495,0.057,1.3955,0.0545,0.027
"backupUNC140137407",0.0285,1.22,1.266,0.0925,1.119,1.201,0.0295,0.08
"backupUNC140165312",1.182,1.1285,0.022,1.3865,1.317,1.243,0.031,0.018
"backupUNC140167042",0.094,0.1,1.577,1.4365,0.064,0.1005,1.694,0.098
"backupUNC140201105",0.034,0.0335,1.362,0.0175,0.035,0.0325,0.031,0.047
"backupUNC140210413",1.166,1.2005,0.007,0.0105,0.006,1.2395,1.204,0.014
"backupUNC140216727",0.085,0.0945,0.472,0.087,0.357,0.5075,0.4615,0.5
"backupUNC140219411",0.003,0.8585,0.892,0.0145,0.753,0.895,0.0065,0.001
"backupUNC140224450",0.0055,0.0025,0.976,1.0685,0.012,0.003,1.098,1.035
"backupUNC140239235",0.0155,0.642,0.568,0.018,0.53,0.5955,0.004,0.019
"backupUNC140260041",1.2935,0.057,0.052,0.0505,0.044,1.266,1.386,0.048
"backupUNC140270769",0.016,0.9305,0.96,0.9395,0.006,0.015,0.9125,0.018
"backupUNC140281170",0.531,0.003,0,0.4125,0.184,0.0065,0.4195,0.56
"backupUNC140312117",0.5995,0.5585,0.008,0.5915,0.013,0.003,0.5475,0.013
"backupUNC140313117",1.0645,0.0355,0.026,0.033,0.027,0.035,1.1585,1.17
"backupUNC140331578",0.0015,0.6665,0.726,0.001,0.006,0.734,0.002,0.001
"backupUNC140342296",0.043,1.0405,1.007,0.045,0.049,1.0635,1.083,0.035
"backupUNC140369121",0.4105,1.3135,1.302,0.369,1.685,0.4935,0.351,0.501
"backupUNC140377111",0.0205,1.196,1.157,1.333,1.388,0.021,1.3555,0.014
"backupUNC140380717",1.1215,1.1995,0.029,0.0515,1.366,0.0435,0.0415,0.034
"backupUNC140381058",0.3525,0.006,0.008,0.4015,0.008,0.3335,0.0105,0.289
"backupUNC140381698",0.2935,0.3025,1.246,1.3545,1.383,0.3235,1.311,1.276
"backupUNC140389334",1.904,1.821,1.787,1.7975,2.341,1.81,1.8145,1.866
"backupUNC140400377",0.252,1.3755,1.316,0.0495,0.003,0.0095,0.011,0.253
"backupUNC140408279",1.125,1.1845,0.269,1.2245,1.238,1.2025,1.1935,1.216
"backupUNC140418896",0.039,0.0435,0.796,0.885,0.783,0.041,0.045,0.03
"backupUNC140436365",0.6985,0.012,0.632,0.5635,0.454,0.009,0.629,0.011
"backupUNC140442244",0.7385,5e-04,0.812,0.8225,0.003,0,0.003,0.786
"backupUNC140453246",0.1425,1.631,0.094,1.768,1.753,0.1175,1.779,0.108
"backupUNC140464620",0.755,0.0095,0.731,0.0115,0.724,0.0065,0.8305,0.003
"backupUNC140481239",0.842,0.0315,0.839,0.0365,0.039,0.819,0.852,0.823
"backupUNC140490100",0.005,0.192,0.005,0.181,0.168,0.193,0.0045,0.201
"backupUNC140494563",0.012,0.788,0.011,0.7655,0.007,0.7825,0.0205,0.8
"backupUNC140495830",0.6555,0.0265,0.72,0.6145,0.015,0.0275,0.5725,0.747
"backupUNC140502852",0.058,0.758,0.048,0.0415,0.8,0.0445,0.052,0.737
"backupUNC140520603",0.015,0.602,0.013,0.559,0.386,0.011,0.016,0.649
"backupUNC140553091",1.3075,1.2785,1.139,1.3695,1.687,1.2155,1.3275,1.215
"backupUNC140554905",0.6985,0.0215,0.831,0.01,0.009,0.7645,0.6435,0.014
"backupUNC140589529",0.1035,0.8435,0.087,0.861,0.17,0.1075,0.0655,0.869
"backupUNC140590483",0.0565,1.078,0.067,1.2035,0.114,1.1215,0.0515,1.134
"backupUNC140618860",0.0075,0.0175,0.005,1.0465,0.825,0.006,0.012,1.048
"backupUNC140639315",0.609,0.7675,0.603,0.0635,0.096,0.5925,0.5215,0.043
"backupUNC140644534",0.592,0.0265,0.746,0.476,0.018,0.607,0.0335,0.028
"backupUNC140683413",0.018,0.018,0.013,0.7795,0.026,0.022,0.1245,0.89
"backupUNC140686121",0.9935,1.11,1.026,0.032,0.021,0.0275,0.0255,1.027
"backupUNC140693590",0.7025,0.638,0.733,0.0105,0.466,0.682,0.004,0.009
"backupUNC140854347",0.023,0.031,0.025,1.0985,0.971,0.0175,0.0315,1.04
"backupUNC140859505",0.0095,0.007,0.005,0.304,0.014,0.01,0.359,0.291
"backupUNC140862843",0.0025,0.035,0.026,1.0015,1.031,0.006,0.0445,1.007
"backupUNC140871634",1.079,1.0475,1.067,0.008,0.004,0.001,0.006,1.103
"backupUNC140902860",0.016,0.023,0.025,1.1125,0.944,1.173,0.0185,1.128
"backupUNC140942387",0.7485,0.7185,0.668,0.021,0.024,0.732,0.7875,0.023
"backupUNC140946612",1.199,1.1035,1.22,0.0815,1.079,0.07,1.1505,0.029
"backupUNC140950940",0.0665,0.0605,0.042,1.064,0.068,0.06,1.0975,1.097
"backupUNC140955323",0.7185,0.696,0.61,0.0105,0.669,0.6835,0.0155,0.021
"backupUNC140958199",1.5665,1.569,1.485,0.019,1.913,1.59,0.018,0.014
"backupUNC140961895",1.108,1.133,0.989,0.014,1.223,0.019,1.243,0.016
"backupUNC141061832",1.2855,1.3205,1.299,0.036,0.03,0.032,1.4645,1.256
"backupUNC141073053",0.023,0.026,0.028,1.3985,1.592,1.45,0.0275,1.374
"backupUNC141100128",1.3445,1.2795,1.242,0.046,1.501,0.0095,1.392,0.043
"backupUNC141144397",0.9435,1.093,1.061,0.01,0.012,0.0095,1.0755,1.08
"backupUNC141151532",0.006,0.0085,0.013,0.9845,0.87,0.0135,0.0075,1.096
"backupUNC141211676",1.455,1.4405,1.441,0.0345,1.471,1.4995,0.0295,0.011
"backupUNC141286940",0.13,0.116,0.124,1.3775,1.619,0.1245,0.131,1.406
"backupUNC141322526",1.556,1.617,1.558,0.4965,2.078,0.69,1.676,0.74
"backupUNC141359118",0.004,0.0065,0.01,0.005,0.44,0.5425,0.5425,0.566
"backupUNC141394134",0.091,0.091,0.085,0.0465,0.066,1.2845,1.3035,1.23
"backupUNC141490485",1.513,1.4595,1.358,1.737,0.055,1.4795,0.0565,0.044
"backupUNC141498528",0.072,0.0735,0.054,0.0685,1.108,1.135,0.0615,1.197
"backupUNC150000076",0.134,1.075,1.01,0.13,1.094,0.124,0.1205,0.122
"backupUNC150003978",0.046,0.8825,0.858,0.0485,0.044,0.889,0.0495,0.937
"backupUNC150006608",0.808,0.0215,0.016,0.77,0.531,0.019,0.597,0.893
"backupUNC150016326",0.7935,0.8075,0.028,0.02,0.012,0.805,0.0215,0.828
"backupUNC150017185",0.8695,0.004,0.01,0.773,0.003,0.01,0.955,0.83
"backupUNC150018234",0.009,0.009,0.682,0.01,0.232,0.0095,0.011,0.68
"backupUNC150056097",0.012,0.0135,0.953,0.0105,0.719,0.943,0.0065,0.946
"backupUNC150061891",0.7395,0.7465,0.009,0.0045,0.011,0.8545,0.8405,0.752
"backupUNC150067245",0.537,0.5535,0.04,0.0105,0.033,0.038,0.4825,0.639
"backupUNC150068734",0.029,0.046,1.253,0.0545,1.314,1.266,0.043,1.329
"backupUNC150087589",0.036,0.035,1.376,0.039,1.585,1.456,1.5455,1.345
"backupUNC150092671",1.1335,0.112,0.111,1.1605,1.027,0.125,1.195,1.076
"backupUNC150129305",0.016,0.0265,1.648,0.009,1.812,1.6095,0.017,0.008
"backupUNC150136886",0.0535,0.0805,1.199,0.0945,1.488,1.312,0.0855,1.258
"backupUNC150140576",0.8175,0.02,0.015,0.02,0.001,0.018,0.8005,0.874
"backupUNC150179907",0.2215,0.2075,0.005,0.003,0.005,5e-04,0.16,0
"backupUNC150188755",0.0175,0.0185,0.922,0.0245,0.804,0.9455,0.8935,0.973
"backupUNC150197207",1.1755,0.097,0.016,1.1305,0.005,0.009,1.1175,0.012
"backupUNC150204243",1.182,0.0505,0.043,0.073,1.398,0.048,1.2465,1.181
"backupUNC150204848",0.001,0.8955,0.74,0.003,0.79,0.8135,0.8265,0
"backupUNC150216499",1.177,0.0105,0.005,1.178,1.198,1.2085,1.1265,0.007
"backupUNC150237238",1.571,0.034,0.032,1.8845,0.031,1.647,0.0235,0.029
"backupUNC150240932",1.0325,1.16,0.017,0.0175,1.285,1.1375,0.021,0.01
"backupUNC150246358",1.416,0.101,0.108,1.563,1.787,0.0985,0.2505,0.105
"backupUNC150248834",0.032,0.032,1.228,0.033,1.049,1.182,0.0355,1.252
"backupUNC150249559",0.03,1.543,1.51,0.027,1.709,0.0405,1.575,1.531
"backupUNC150252878",0.849,0.821,0.028,0.0135,0.725,0.777,0.0535,0.035
"backupUNC150254156",0.9645,0.0225,0.011,0.033,0.025,1.019,0.0285,1.013
"backupUNC150266470",1.3525,1.3925,0.037,0.0635,0.044,0.042,1.5255,1.396
"backupUNC150278757",1.1145,0.031,0.008,0.0235,1.216,1.127,0.0235,0.018
"backupUNC150280562",0.044,0.779,0.658,0.032,0.776,0.02,0.7455,0.016
"backupUNC150326784",0.724,0.013,0.787,0.865,0.608,0.822,0.0045,0.007
"backupUNC150327875",0.48,0.0055,0.618,0.385,0.252,0.484,0.0075,0.008
"backupUNC150345256",0.907,0.0415,0.958,0.038,0.64,0.9435,0.041,0.03
"backupUNC150351035",0.033,0.469,0.042,0.0445,0.038,0.468,0.0305,0.492
"backupUNC150353533",0.003,0.7635,0,0.0035,0.722,0.7935,0.7565,0.78
"backupUNC150358956",0.015,0.5685,0.016,0.0145,0.351,0.602,0.5265,0.664
"backupUNC150362771",0.5895,0.0235,0.562,0.029,0.403,0.531,0.5,0.036
"backupUNC150364396",0.8155,0.015,0.73,0.714,0.596,0.742,0.017,0.017
"backupUNC150375249",0.579,0.026,0.686,0.166,0.419,0.615,0.0185,0.016
"backupUNC150376011",0.0125,1.0675,0.01,0.0085,0.015,0.004,1.159,1.097
"backupUNC150378246",0.69,0.0095,0.651,0.012,0.642,0.6745,0.0195,0.013
"backupUNC150378897",0.0265,1.16,0.021,0.029,1.274,0.0275,1.228,1.124
"backupUNC150385510",0.7595,0.0225,0.719,0.027,0.785,0.022,0.025,0.716
"backupUNC150386066",0.016,0.7975,0.013,0.0235,0.855,0.78,0.031,0.727
"backupUNC150389628",0.024,0.7135,0.01,0.7675,0.04,0.008,0.7385,0.052
"backupUNC150393474",1.291,0.019,1.216,1.4755,1.476,0.022,0.0245,0.02
"backupUNC150396514",0.9355,0.0965,0.842,0.095,0.129,0.094,0.751,0.071
"backupUNC150400382",1.3345,0.0815,1.323,0.055,0.05,1.339,0.0665,1.368
"backupUNC150400877",1.215,0.564,1.096,1.371,0.962,0.553,1.2885,1.157
"backupUNC150403504",1.1255,0.0195,1.037,0.0165,0.022,0.027,0.021,0.024
"backupUNC150408758",1.12,0.0095,1.175,0.0095,1.135,1.2395,0.0075,0.006
"backupUNC150414849",0.024,0.0265,0.02,0.0135,0.414,0.0205,0.3835,0.339
"backupUNC150415457",1.077,1.028,1.04,0.007,0.005,1.0815,0.012,1.05
"backupUNC150416509",0.003,0.005,0.006,0.7825,0.01,0.0015,0.808,0.872
"backupUNC150422514",1.481,1.43,1.384,0.2155,0.172,1.466,0.202,1.469
"backupUNC150438000",0.021,0.016,0.016,0.4405,0.234,0.3035,0.0045,0.004
"backupUNC150444015",0.908,0.8225,0.942,0.8515,0.646,0.024,0.0285,0.024
"backupUNC150450325",0.033,0.04,0.022,1.3985,1.5,0.0355,0.027,1.195
"backupUNC150475151",0.0075,0.0215,0.012,0.0045,0.203,0.3395,0.9555,1.024
"backupUNC150482030",1.0105,0.955,1.082,0.0025,0.92,1.0475,0.0025,0
"backupUNC150598956",1.2875,1.381,1.37,0.061,1.464,1.3735,0.0615,0.054
"backupUNC150614017",1.1085,1.134,1.053,0.011,1.214,1.16,0.0145,0.016
"backupUNC150640314",0.9575,0.881,0.858,0.0135,0.856,0.928,0.0145,0.008
"backupUNC150769490",0.03,0.0265,0.031,0.771,0.034,0.0275,0.727,0.757
"backupUNC150781848",0.954,0.899,0.926,0.02,0.767,0.9215,0.0145,0.017
"backupUNC150805894",0.0185,0.021,0.016,1.2655,0.013,0.016,1.1945,1.201
"backupUNC150939081",0.997,1.0565,0.998,0.033,1,1.0395,0.0345,0.024
"backupUNC150949848",0.9885,0.9605,0.957,0.09,0.055,0.0575,0.052,0.049
"backupUNC150962844",0.023,0.0255,0.023,0.9605,0.022,0.8835,0.963,0.019
"backupUNC151170370",0.146,0.1635,0.116,0.162,0.198,0.1425,0.1735,0.149
"backupUNC160014695",1.1895,1.1145,0.024,0.0215,1.213,1.2255,0.026,0.025
"backupUNC160022056",0.5865,0.1205,0.117,0.601,0.089,0.1235,0.023,0.581
"backupUNC160036643",0.3295,0.003,0.003,0.0055,0.004,0.005,0.0085,0.325
"backupUNC160059955",0.048,0.314,0.519,0.039,0.056,0.0485,0.46,0.326
"backupUNC160063674",1.15,0.012,0.015,0.0135,0.011,0.016,1.1945,1.107
"backupUNC160068099",1.0365,0.007,0.006,1.0225,0.003,0.0095,0.1995,0.975
"backupUNC160071692",0,0.8945,0.971,0.967,0.648,0.928,0.005,0.002
"backupUNC160075112",0.006,0.619,0.531,0.0065,0.64,0.582,0.0055,0.003
"backupUNC160080251",0.0275,0.0255,1.325,1.487,1.489,1.3225,1.4155,0.019
"backupUNC160084158",0.004,0.007,0.629,0.0045,0.706,0.659,0.0055,0.687
"backupUNC160087421",0.71,0.7455,0.483,0.68,0.239,0.458,0.429,0.49
"backupUNC160096686",0.0255,0.0265,0.954,0.02,0.69,0.8865,0.0225,0.028
"backupUNC160103970",0.0075,0.0085,0.877,0.639,0.483,0.005,0.658,0.011
"backupUNC160117408",0.0105,0.01,0.963,0.016,1.144,1.0515,1.0695,1.009
"backupUNC160130658",0.053,1.187,1.208,0.0495,1.353,0.05,0.0355,0.047
"backupUNC160133940",0.5965,0.0135,0.017,0.659,0.012,0.5945,0.013,0.605
"backupUNC160135352",0.066,1.237,1.188,0.069,1.266,0.072,1.348,1.209
"backupUNC160136386",0.0525,0.875,0.781,0.033,0.856,0.046,0.873,0.033
"backupUNC160138900",0.0375,1.0715,1.15,0.033,0.945,1.14,1.088,0.033
"backupUNC160144984",0.008,0.0145,0.926,0.905,0.008,0.011,0.8665,0.935
"backupUNC160146167",1.3775,1.2375,0.095,1.4255,1.272,0.1315,0.1655,0.098
"backupUNC160158316",0.01,0.774,0.755,0.0185,0.682,0.019,0.784,0.77
"backupUNC160192228",0.024,1.2165,0.013,1.2025,1.272,0.015,0.021,0.019
"backupUNC160195665",1.3435,0.016,1.235,1.099,1.659,1.3365,0.018,0.013
"backupUNC160198484",0.0375,1.1355,0.021,1.175,0.023,0.0305,1.2755,1.152
"backupUNC160203731",0.6035,0.012,0.621,0.606,0.007,0.0075,0.6295,0.561
"backupUNC160222545",0.0355,0.549,0.035,0.4905,0.263,0.4785,0.464,0.45
"backupUNC160229809",0.081,0.8,0.068,0.0805,0.572,0.0735,0.081,0.855
"backupUNC160235938",1.1245,0.0375,1.266,0.0355,0.041,1.205,0.035,0.038
"backupUNC160253252",0.5125,0.4845,0.479,0.003,0,0.4655,0.007,0.003
"backupUNC160270187",1.454,1.4515,1.455,0.031,0.028,0.0215,0.032,1.394
"backupUNC160271101",1.0655,1.0865,1.049,1.2325,1.012,0.004,0.0035,0.002
"backupUNC160290025",0.9225,0.987,0.939,0.0215,1.024,0.9625,0.018,0.018
"backupUNC160349027",1.1435,1.0165,1.103,0.015,0.89,1.085,0.0165,0.019
"backupUNC160361454",0.1155,0.1465,0.12,0.7225,0.061,0.08,0.6535,0.749
"backupUNC160364959",0.7425,0.752,0.722,0.008,0.007,0.737,0.008,0.768
"backupUNC160451681",0.8735,0.9295,0.872,0.0715,1.058,0.902,0.0655,0.057
"backupUNC160475666",0.0715,0.075,0.058,1.749,0.098,0.0805,1.8135,1.694
"backupUNC160585653",0.749,0.6835,0.672,0,0.551,0.6895,0,0.004
"backupUNC160603348",0.882,0.854,0.845,0.009,0.008,0.825,0.01,0.006
"backupUNC160649276",0.685,0.7135,0.723,0,0.499,0.6695,0,0
"backupUNC160658392",1.4345,1.381,1.255,0.0325,1.63,1.3535,0.029,0.03
"backupUNC160695447",0.934,0.9635,0.899,0.0275,0.015,0.025,0.0145,0.027
"backupUNC160783498",0.003,0.005,0.008,0.622,0.474,0.0075,0.54,0.005
"backupUNC160832365",0.718,0.6795,0.687,0.004,0.428,0.6975,5e-04,0.007
"backupUNC160867943",0.0445,0.0395,0.027,1.3475,0.04,1.1225,1.0095,1.034
"backupUNC160990982",0.019,0.0205,0.02,0.5625,0.009,0.7305,0.4565,0.021
"backupUNC161076189",1.0535,0.989,1.006,0.9815,0.907,0.003,0.0125,0.007
"backupUNC170011199",0.0255,0.021,0.908,0.9395,0.021,0.023,1.065,0.023
"backupUNC170018278",1.4255,1.4315,0.029,1.541,0.027,0.0235,0.038,1.435
"backupUNC170022463",0.0595,0.0715,0.026,0.03,0.015,0.0655,0.021,0.07
"backupUNC170033624",0.857,0.884,0.029,0.004,0.019,0.8935,0.7595,0.921
"backupUNC170037918",0.0225,0.017,0.379,0.2295,0.127,0.0175,0.2545,0.014
"backupUNC170045069",0.001,0.0045,0.835,0.002,0.447,0,0.002,0
"backupUNC170076641",0.0675,0.0485,1.536,1.779,1.906,0.1205,0.106,1.489
"backupUNC170082153",0.1055,1.5135,1.395,1.709,1.827,0.1855,0.0925,1.488
"backupUNC170085852",0.5905,0.128,0.17,0.4085,0.253,0.131,0.2095,0.558
"backupUNC170091285",0.3395,0.628,0.606,0.2945,0.578,0.284,0.311,0.272
"backupUNC170115739",1.053,0.108,0.092,0.1045,1.276,0.086,1.1795,0.082
"backupUNC170117869",0.1385,0.136,1.079,1.1,1.082,0.1065,1.1655,1.08
"backupUNC170124468",0.793,0.8715,0.015,0.035,0.811,0.851,0.0855,0.019
"backupUNC170126516",0.1705,1.178,1.261,0.1895,1.215,1.0915,0.051,0.158
"backupUNC170136399",0.5185,0.491,0.661,0.4795,0.509,0.728,0.698,0.451
"backupUNC170138236",0.0445,0.2245,0.26,0.073,0.167,0.2815,0.259,0.055
"backupUNC170139880",0.194,1.1965,1.224,0.2625,1.238,1.2265,0.2615,0.247
"backupUNC170146745",0.878,0.844,0.049,0.0835,0.957,0.8585,0.0705,0.08
"backupUNC170152056",0.286,0.1275,0.125,0.2695,0.118,0.0885,0.253,0.08
"backupUNC170155984",0,1.1555,1.173,0.006,1.094,0.0025,1.14,1.184
"backupUNC170166828",1.1365,1.1505,0.192,1.094,0.26,0.1475,1.262,0.165
"backupUNC170174143",0.364,0.4255,0.062,0.053,0.221,0.0605,0.3795,0.059
"backupUNC170182621",0.053,0.717,0.725,0.0475,0.033,0.689,0.049,0.035
"backupUNC170196194",0.42,0.4605,0.037,0.025,0.278,0.4665,0.24,0.024
"backupUNC170214016",0.0345,0.0395,0.776,0.026,0.928,0.792,0.027,0.752
"backupUNC170227840",0.8865,0.8745,0.088,0.0495,0.737,0.0955,1.0135,0.929
"backupUNC170236285",0.8795,0.067,0.054,0.7625,0.067,0.836,0.0235,0.905
"backupUNC170283680",1.13,0.0485,1.079,0.0475,0.04,1.141,0.0435,0.036
"backupUNC170300728",1.079,0.02,1.092,1.049,0.098,0.102,1.0135,0.045
"backupUNC170302877",1.2645,0.167,1.222,0.0365,1.501,0.1685,1.467,0.137
"backupUNC170305074",1.6225,0.1585,1.357,1.8225,1.757,0.1265,1.7165,0.2
"backupUNC170333568",1.462,0.179,1.449,1.6785,0.221,0.159,0.1545,1.489
"backupUNC170334136",0.739,0.169,0.7,0.154,0.215,0.103,0.8445,0.122
"backupUNC170339150",0.2635,1.2365,0.229,0.253,1.41,0.24,1.204,1.186
"backupUNC170342089",0.029,0.968,0.026,1.053,1.069,1.0305,1.057,0.025
"backupUNC170351788",0.1355,0.998,0.081,1.1115,0.114,0.0715,0.9895,0.075
"backupUNC170360157",0.869,0.024,0.965,0.563,0.695,0.951,0.0225,0.031
"backupUNC170361858",0.7485,0.0475,0.848,0.659,0.586,0.079,0.0785,0.835
"backupUNC170365023",1.126,0.1,1.137,0.018,1.393,0.092,1.306,1.22
"backupUNC170371213",0.0465,0.926,0.064,0.936,0.09,0.9325,0.031,0.076
"backupUNC170410312",0.084,0.1055,0.103,0.9145,0.792,0.8335,0.0805,0.834
"backupUNC170463469",0.019,0.018,0.018,0.6365,0.484,0.0195,0.0235,0.65
"backupUNC170654583",1.511,0.307,1.427,0.264,0.377,0.2725,0.2345,0.222
"backupUNC170692107",1.196,1.2655,1.126,0.068,1.343,1.2155,0.0755,0.071
"backupUNC170771278",1.112,1.0415,1.04,0.103,0.114,1.0915,0.1015,1.016
"backupUNC170815693",0.125,0.122,0.109,1.1035,1.162,1.0265,0.0435,0.045
"backupUNC170902303",0.813,0.7295,0.827,0.0525,0.555,0.117,0.757,0.079
"backupUNC171026926",0.072,0.0725,0.077,0.0705,0.097,0.0635,0.057,0.499
"backupUNC171054660",0.022,0.024,0.025,0.003,0.592,0.028,0.8175,0.406
"backupUNC171109681",0.103,0.1,0.064,0.1145,1.498,1.367,1.333,0.084
"backupUNC180006260",0.9145,0.0875,0.074,0.815,0.119,0.075,0.8965,0.074
"backupUNC180017477",0.1595,1.3345,0.175,0.1265,0.184,0.125,0.121,1.311
"backupUNC180036426",0.88,0.876,0.751,1.006,0.944,0.993,1.084,0.786
"backupUNC180055732",0.1115,0.8565,0.866,0.103,0.145,0.911,0.101,0.102
"backupUNC180056465",0.1365,1.331,1.397,0.1295,0.084,1.3975,0.1185,1.403
"backupUNC180062842",0.369,0.3905,0.899,0.928,0.543,0.9715,0.376,0.374
"backupUNC180063159",0.892,0.939,0.35,0.3265,0.932,0.368,0.2975,0.329
"backupUNC180094558",0.0255,1.215,1.19,0.034,0.023,1.2465,0.023,1.153
"backupUNC180106839",0.889,0.047,0.048,0.0465,0.626,0.8505,0.0355,0.937
"backupUNC180109886",0.4055,0.368,0.02,0.009,0.282,0.334,0.318,0.021
"backupUNC180111263",0.004,0.005,1.179,0.9335,1.366,0.0045,0.012,0.01
"backupUNC180117139",0.018,1.1705,1.141,0.009,1.263,0.022,0.013,1.21
"backupUNC180130053",0.017,0.879,0.839,0.0205,0.023,0.0245,0.019,0.853
"backupUNC180134519",1.2095,0.031,0.036,1.276,0.019,0.031,1.286,1.316
"backupUNC180139569",0.8525,0.915,0.019,0.8725,0.911,0.0135,0.9605,0.014
"backupUNC180152756",0.002,1.125,1.083,0,1.244,1.1915,1.2665,0.004
"backupUNC180157522",0.0635,1.077,1.098,1.0025,0.93,1.034,0.0655,0.087
"backupUNC180165192",1.2975,1.2425,0.056,1.3955,1.278,1.2685,0.05,0.046
"backupUNC180182462",0.606,0.0505,0.083,0.439,0.056,0.361,0.349,0.066
"backupUNC180192740",0.012,0.0045,0.862,0.0155,0.013,0.8555,0.811,0.86
"backupUNC180199802",0.01,1.2515,1.169,0.0135,1.104,0.01,0.0185,1.218
"backupUNC180201756",1.0375,0.0355,0.021,1.0165,1.063,0.026,0.0245,0.02
"backupUNC180205958",0.8325,0.011,0.019,0.851,0.007,0.7765,0.811,0.796
"backupUNC180220461",0.839,0.1275,1.05,0.0335,0.097,0.811,0.0895,0.784
"backupUNC180249319",0.0345,1.1185,0.021,1.205,0.038,1.129,1.223,0.027
"backupUNC180262601",0.1055,0.904,0.124,0.9735,0.833,0.1465,0.9895,0.114
"backupUNC180279278",0.002,0.76,0.002,0.6835,0.583,0.0015,0.6655,0.002
"backupUNC180282678",0.8585,0.0175,1.033,0.016,0.701,1.004,0.017,1.194
"backupUNC180296397",0.836,0.012,1.025,0.0325,0.615,0.9635,0.0125,0.021
"backupUNC180299204",0.02,1.5225,0.012,1.6115,1.522,1.5875,0.0205,0.017
"backupUNC180302834",1.0205,0.005,1.018,1.177,0.01,1.0795,0.0135,1.076
"backupUNC180311503",0.919,0.011,0.981,0.5885,0.957,0.019,0.005,0.023
"backupUNC180312993",0.006,0.5265,0.031,0.018,0.446,0.5615,0.029,0.034
"backupUNC180321411",0.094,0.0675,0.054,0.9245,0.089,0.069,0.9285,0.96
"backupUNC180326482",0.0545,0.054,0.032,0.058,0.048,0.9115,1.004,0.98
"backupUNC180395407",1.234,1.3255,1.28,0.028,0.015,0.0285,0.017,0.016
"backupUNC180414314",1.088,1.1535,1.037,0.211,0.21,0.1965,0.193,1.005
"backupUNC180546549",0.9065,0.8405,0.731,0.468,0.44,0.7705,0.155,0.058
"backupUNC180562080",0.8695,0.928,0.981,0.0185,0.87,0.953,0.0225,0.031
"backupUNC180790132",0.0255,0.025,0.034,1.1525,0.047,1.157,1.196,0.021
"backupUNC180842500",0.0185,0.014,0.016,1.0005,0.011,0.941,0.9155,0.019
"backupUNC181045665",0.0445,0.0535,0.036,0.0485,0.051,0.866,0.812,0.8
"backupUNC181051909",1.021,0.971,0.997,0.998,0.066,0.9655,0.05,0.049
"backupUNC181064509",0.113,0.107,0.101,0.106,0.095,0.9975,1.0705,0.925
